"player_id","season_name","general_position","team_id","minutes_played","goals_added_above_avg_Dribbling","goals_added_above_avg_Fouling","goals_added_above_avg_Interrupting","goals_added_above_avg_Passing","goals_added_above_avg_Receiving","goals_added_above_avg_Shooting","count_actions_Dribbling","count_actions_Fouling","count_actions_Interrupting","count_actions_Passing","count_actions_Receiving","count_actions_Shooting","offensive_goals_added"
"2lqRk9d4Qr","2021","DM","NWMWlBK5lz",124,-0.0918,0.0089,0.0025,-0.0172,-0.0106,-0.023,16,4,18,70,56,0,-0.1337
"2lqRk9d4Qr","2021","FB","NWMWlBK5lz",51,-0.0457,0.0068,-0.0059,-0.0699,0.0262,-0.0059,7,1,7,25,17,0,-0.0885
"2lqRk9d4Qr","2021","W","NWMWlBK5lz",171,-0.1171,0.0242,-0.0112,0.0318,-0.0407,-0.0067,28,1,24,62,65,7,-0.1085
"2lqRkbN4Qr","2022","CB","kRQabn8MKZ",5,0.0097,5e-04,-0.0039,-0.0137,8e-04,-6e-04,2,0,0,2,2,0,-0.0033
"2lqRkbN4Qr","2022","W","kRQabn8MKZ",37,0.0062,0.0179,-0.0039,-0.023,-0.0222,-0.019,7,4,2,8,10,0,-0.0401
"2lqRkdg4Qr","2015","FB","9z5k7Yg5A3",19,-0.0029,-0.002,-0.0207,-0.0088,-0.0027,-0.0022,1,1,2,8,2,0,-0.0186
"2lqRkeWaQr","2018","AM","X0Oq66zq6D",59,8e-04,-0.0096,0.001,-0.0565,-0.0537,-0.0302,3,1,5,9,7,0,-0.1492
"2lqRkeWaQr","2018","CM","X0Oq66zq6D",27,-0.0036,-0.0016,-0.0181,-0.0388,0.0186,-0.0072,2,1,0,7,8,0,-0.0326
"2lqRkeWaQr","2018","DM","X0Oq66zq6D",19,-0.0023,-0.0245,0.003,0.0083,0.0022,0.0065,0,2,3,8,4,1,-0.0098
"2lqRkeWaQr","2018","ST","X0Oq66zq6D",73,-0.0047,-0.0107,0.1799,-0.0691,-0.108,-0.0546,7,0,7,37,32,2,-0.2471
"2lqRkeWaQr","2018","W","X0Oq66zq6D",77,-0.0857,-0.0074,0.0981,-0.068,0.0483,-0.0392,12,2,8,37,34,1,-0.152
"2lqRkjBAQr","2021","CM","NWMWlBK5lz",101,0.0187,-0.0255,0.0116,0.0949,-0.0282,0.0061,24,5,16,57,51,1,0.066
"2lqRkjBAQr","2021","ST","NWMWlBK5lz",9,0.0212,-0.0013,0.0126,0.0114,-0.0171,-0.0068,2,0,2,6,6,0,0.0074
"2lqRkmAWQr","2021","AM","KAqBN0Vqbg",8,-0.0011,-9e-04,-0.0037,-0.0029,-0.008,-0.0041,0,0,0,0,0,0,-0.017
"2lqRkmAWQr","2021","CM","KAqBN0Vqbg",44,0.0055,0.0019,-0.027,-0.0701,0.0373,0.0676,7,2,4,11,10,2,0.0422
"2lqRkmAWQr","2021","ST","KAqBN0Vqbg",223,-0.2101,-0.0406,-0.0645,0.0481,0.2263,0.0323,15,8,8,27,36,7,0.056
"2lqRkmAWQr","2022","DM","KAqBN0Vqbg",8,-0.0499,4e-04,-0.0061,-0.0039,0.0152,-0.0015,1,0,0,0,1,0,-0.0397
