player_name,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added,goals_added_per_90
Brandon Vázquez,CIN,2023,ST,2632,-0.31,-0.15,-0.26,-0.34,0.58,0.01,-0.47,-0.01607142857
Jon Gallagher,ATX,2023,FB,3102,-0.1,0.47,-0.49,-1.33,0.61,0.3,-0.56,-0.01624758221
Mitja Ilenic,NYC,2023,FB,1324,-0.1,0.08,0.24,-0.31,-0.11,-0.04,-0.24,-0.0163141994
Uri Rosell,LAG,2023,DM,937,-0.15,0.02,0.34,-0.15,-0.12,-0.1,-0.17,-0.01632870864
Luiz Araújo,ATL,2023,W,1390,0.17,0.15,-0.23,-0.05,-0.48,0.18,-0.26,-0.01683453237
Fabian Herbers,CHI,2023,DM,2172,-0.38,-0.33,0.36,-0.18,0.1,0.02,-0.41,-0.01698895028
Sebastien Ibeagha,FCD,2023,CB,2661,-0.33,0.14,0.04,-0.12,-0.22,-0.01,-0.51,-0.01724915445
Tommy Thompson,SJE,2023,W,468,-0.06,0.01,0.04,-0.13,-0.03,0.09,-0.09,-0.01730769231
John Nelson,STL,2023,FB,1397,0.01,0.33,-0.45,0.08,-0.19,-0.04,-0.27,-0.01739441661
Shanyder Borgelin,MIA,2023,ST,205,-0.43,-0.02,0.02,-0.05,0.34,0.1,-0.04,-0.01756097561
Sergi Palencia,LAFC,2023,FB,1418,-0.09,0.02,-0.36,0.29,-0.09,-0.05,-0.28,-0.01777150917
Ashley Westwood,CLT,2023,CM,2823,-0.67,0.33,0.02,0.29,-0.18,-0.34,-0.56,-0.0178533475
Gabriele Corbo,MTL,2023,CB,2497,0.02,-0.05,0.05,0.04,-0.5,-0.07,-0.5,-0.01802162595
Júnior Moreno,CIN,2023,CM,2467,-0.34,0.07,1.04,0,-0.86,-0.4,-0.5,-0.01824077827
Aleksandar Radovanovic,ATX,2023,CB,391,0.02,0.04,-0.21,0.1,-0.02,-0.01,-0.08,-0.01841432225
Giacomo Vrioni,NER,2023,ST,1437,0.56,-0.07,-0.14,-0.43,-0.44,0.22,-0.3,-0.01878914405
Yeimar Gómez Andrade,SEA,2023,CB,3208,-0.26,-0.07,-0.5,0.23,-0.07,0.02,-0.67,-0.0187967581
Chicharito,LAG,2023,ST,751,-0.2,-0.13,-0.08,-0.33,0.55,0.03,-0.16,-0.01917443409
Ariel Lassiter,"MIA, MTL",2023,FB,1915,-0.03,0.05,-0.39,-0.73,0.09,0.6,-0.41,-0.0192689295
Chris Mavinga,LAG,2023,CB,1256,0.11,-0.14,0.29,-0.51,-0.02,-0.01,-0.27,-0.01934713376
Alex Gersbach,COL,2023,FB,276,-0.02,-0.04,0.18,-0.13,-0.05,0,-0.06,-0.01956521739
Ethan Bristow,MIN,2023,FB,588,0,0.04,0.05,-0.08,-0.08,-0.07,-0.13,-0.01989795918
Shaq Moore,NSH,2023,FB,3062,-0.33,0.11,0.78,-0.85,-0.21,-0.19,-0.68,-0.01998693664
Federico Bernardeschi,TOR,2023,W,2834,0.28,-0.24,-0.02,-0.31,-0.79,0.44,-0.63,-0.02000705716
Iván Angulo,ORL,2023,W,2712,0.07,-0.31,0.03,0.11,-0.41,-0.11,-0.61,-0.02024336283
Mauricio Pereyra,ORL,2023,AM,2278,-0.25,-0.12,0.22,0.76,-0.52,-0.62,-0.52,-0.02054433714
Talles Magno,NYC,2023,W,2122,-0.98,0,-0.17,-0.11,0.65,0.11,-0.49,-0.02078228087
Jairo Torres,CHI,2023,W,863,-0.03,0.04,-0.09,-0.42,0.15,0.16,-0.2,-0.02085747393
Abdi Salim,ORL,2023,CB,172,-0.03,0.02,0.12,-0.09,-0.03,-0.02,-0.04,-0.02093023256
Donovan Pines,DCU,2023,CB,2082,0.08,0.17,-0.35,-0.78,0.15,0.24,-0.49,-0.0211815562
Iván Franco,HOU,2023,W,1242,-0.08,-0.05,-0.29,-0.68,0.59,0.21,-0.3,-0.02173913043
Emmanuel Boateng,NER,2023,W,1594,0.07,-0.13,-0.01,-0.08,-0.12,-0.12,-0.39,-0.02202007528
Xherdan Shaqiri,CHI,2023,AM,2280,-0.75,-0.08,-0.27,1.92,-0.96,-0.41,-0.56,-0.02210526316
Aaron Herrera,MTL,2023,FB,1554,-0.16,0.06,-0.06,-0.17,-0.02,-0.04,-0.39,-0.02258687259
Shane O'Neill,TOR,2023,CB,1023,-0.08,-0.11,0.32,-0.12,-0.18,-0.1,-0.26,-0.02287390029
Sergii Kryvstov,MIA,2023,CB,2352,0.33,0.18,-0.92,0.33,-0.4,-0.14,-0.61,-0.02334183673
Lewis O'Brien,DCU,2023,CM,1686,-0.05,0.03,0.02,-0.16,-0.13,-0.16,-0.44,-0.02348754448
